epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,3205,1.24736,0.60753,0.99108,0.81473,0.73389,0.78101,0.35417,2.05434,0.87487,1.38025,0.00100742,0.00100742,0.00100742
151,3225.49,1.25628,0.60812,1.00081,0.84021,0.75525,0.7998,0.3496,2.03,0.87879,1.3749,0.00100459,0.00100459,0.00100459
152,3247.46,1.24133,0.60772,0.98366,0.76723,0.75642,0.77249,0.34337,2.08992,0.8825,1.42305,0.00100176,0.00100176,0.00100176
153,3267.81,1.25062,0.61155,1.00042,0.76957,0.77011,0.78687,0.33497,2.05746,0.87229,1.39494,0.000998928,0.000998928,0.000998928
154,3288.94,1.24872,0.60823,0.99245,0.80374,0.70194,0.77063,0.34168,2.0622,0.89453,1.39903,0.000996099,0.000996099,0.000996099
155,3311.36,1.25302,0.60599,0.98371,0.83504,0.72459,0.79279,0.34966,2.06934,0.87704,1.41943,0.000993269,0.000993269,0.000993269
156,3330.14,1.23475,0.60508,0.98079,0.80761,0.7619,0.80109,0.37099,2.03097,0.86334,1.37696,0.00099044,0.00099044,0.00099044
157,3351.56,1.22122,0.5983,0.9818,0.77372,0.76243,0.78784,0.35137,2.03751,0.90298,1.39431,0.00098761,0.00098761,0.00098761
158,3373.41,1.23699,0.60338,0.98819,0.78875,0.71789,0.7819,0.35568,2.02633,0.90065,1.38867,0.000984781,0.000984781,0.000984781
159,3393.29,1.22557,0.60028,0.98694,0.82247,0.78471,0.82318,0.37838,2.04297,0.87395,1.40003,0.000981952,0.000981952,0.000981952
160,3414.78,1.21748,0.59725,0.99201,0.80005,0.7838,0.81603,0.35656,2.01913,0.89855,1.37388,0.000979122,0.000979122,0.000979122
161,3435.52,1.21362,0.59716,0.9836,0.82444,0.73942,0.78585,0.33728,2.05577,0.87887,1.4048,0.000976293,0.000976293,0.000976293
162,3455.02,1.19371,0.58896,0.97696,0.77362,0.78404,0.77982,0.32785,2.06126,0.89228,1.40483,0.000973463,0.000973463,0.000973463
163,3476.45,1.21609,0.60274,0.98737,0.75404,0.75056,0.77678,0.33125,2.08978,0.92301,1.41737,0.000970634,0.000970634,0.000970634
164,3496.54,1.21101,0.59292,0.98555,0.82042,0.72358,0.77832,0.34801,2.05015,0.89146,1.37897,0.000967805,0.000967805,0.000967805
165,3518.86,1.18629,0.58819,0.9677,0.78386,0.72572,0.77095,0.35162,2.0355,0.90503,1.38541,0.000964975,0.000964975,0.000964975
166,3540.06,1.21187,0.59004,0.98545,0.77691,0.69185,0.74638,0.32721,2.09714,0.92447,1.43075,0.000962146,0.000962146,0.000962146
